date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/14/12,9,-,89688529,십이월 이십오일의 고백,정승환,1,16852.0,1498.0,4483993,1012026
2019/12/14/13,9,-,89688529,십이월 이십오일의 고백,정승환,1,17222.0,1485.0,4501215,1013511
2019/12/14/14,9,-,89688529,십이월 이십오일의 고백,정승환,1,18163.0,1601.0,4519378,1015112
2019/12/14/15,9,-,89688529,십이월 이십오일의 고백,정승환,1,18029.0,1567.0,4537407,1016679
2019/12/14/16,9,-,89688529,십이월 이십오일의 고백,정승환,1,17761.0,1564.0,4555168,1018243
2019/12/14/17,10,1,89688529,십이월 이십오일의 고백,정승환,1,18019.0,1505.0,4573187,1019748
2019/12/14/18,9,1,89688529,십이월 이십오일의 고백,정승환,1,17624.0,1442.0,4590811,1021190
2019/12/14/19,11,2,89688529,십이월 이십오일의 고백,정승환,1,16096.0,1287.0,4606907,1022477
2019/12/14/20,11,-,89688529,십이월 이십오일의 고백,정승환,1,13236.0,1016.0,4620143,1023493
2019/12/14/21,11,-,89688529,십이월 이십오일의 고백,정승환,1,11990.0,803.0,4632133,1024296
2019/12/14/22,10,1,89688529,십이월 이십오일의 고백,정승환,1,10822.0,718.0,4642955,1025014
2019/12/14/23,11,1,89688529,십이월 이십오일의 고백,정승환,1,10208.0,731.0,4653163,1025745
2019/12/15/0,9,2,89688529,십이월 이십오일의 고백,정승환,1,8992.0,573.0,4662155,1026318
2019/12/15/1,8,1,89688529,십이월 이십오일의 고백,정승환,1,7687.0,457.0,4669842,1026775
2019/12/15/2,8,1,89688529,십이월 이십오일의 고백,정승환,1,6248.0,376.0,4676090,1027151
2019/12/15/3,8,1,89688529,십이월 이십오일의 고백,정승환,1,5148.0,253.0,4681238,1027404
2019/12/15/4,8,1,89688529,십이월 이십오일의 고백,정승환,1,4152.0,179.0,4685390,1027583
2019/12/15/5,8,1,89688529,십이월 이십오일의 고백,정승환,1,3402.0,141.0,4688792,1027724
2019/12/15/6,8,1,89688529,십이월 이십오일의 고백,정승환,1,3320.0,154.0,4692112,1027878
2019/12/15/7,8,-,89688529,십이월 이십오일의 고백,정승환,1,3470.0,139.0,4695582,1028017
2019/12/15/8,8,-,89688529,십이월 이십오일의 고백,정승환,1,4445.0,221.0,4700027,1028238
2019/12/15/9,8,-,89688529,십이월 이십오일의 고백,정승환,1,6294.0,437.0,4706321,1028675
2019/12/15/10,9,1,89688529,십이월 이십오일의 고백,정승환,1,9697.0,855.0,4716018,1029530
2019/12/15/11,10,1,89688529,십이월 이십오일의 고백,정승환,1,11252.0,936.0,4727270,1030466
2019/12/15/12,11,1,89688529,십이월 이십오일의 고백,정승환,1,12587.0,1016.0,4739857,1031482
2019/12/15/13,11,-,89688529,십이월 이십오일의 고백,정승환,1,13471.0,1023.0,4753328,1032505
2019/12/15/14,11,-,89688529,십이월 이십오일의 고백,정승환,1,14185.0,1101.0,4767513,1033606
2019/12/15/15,10,1,89688529,십이월 이십오일의 고백,정승환,1,14931.0,1198.0,4782444,1034804
2019/12/15/16,10,-,89688529,십이월 이십오일의 고백,정승환,1,15204.0,1247.0,4797648,1036051
2019/12/15/17,10,-,89688529,십이월 이십오일의 고백,정승환,1,15314.0,1165.0,4812962,1037216
2019/12/15/18,10,-,89688529,십이월 이십오일의 고백,정승환,1,15148.0,1106.0,4828110,1038322
2019/12/15/19,9,1,89688529,십이월 이십오일의 고백,정승환,1,13245.0,922.0,4841355,1039244
2019/12/15/20,10,1,89688529,십이월 이십오일의 고백,정승환,1,12470.0,811.0,4853825,1040055
2019/12/15/21,10,-,89688529,십이월 이십오일의 고백,정승환,1,12235.0,817.0,4866060,1040872
2019/12/15/22,10,-,89688529,십이월 이십오일의 고백,정승환,1,11180.0,728.0,4877240,1041600
2019/12/15/23,9,1,89688529,십이월 이십오일의 고백,정승환,1,11302.0,881.0,4888542,1042481
2019/12/16/0,11,2,89688529,십이월 이십오일의 고백,정승환,1,8488.0,502.0,4897030,1042983
2019/12/16/1,9,2,89688529,십이월 이십오일의 고백,정승환,1,6655.0,347.0,4903685,1043330
2019/12/16/2,9,2,89688529,십이월 이십오일의 고백,정승환,1,5387.0,262.0,4909072,1043592
2019/12/16/3,9,2,89688529,십이월 이십오일의 고백,정승환,1,4394.0,210.0,4913466,1043802
2019/12/16/4,9,2,89688529,십이월 이십오일의 고백,정승환,1,3662.0,171.0,4917128,1043973
2019/12/16/5,9,2,89688529,십이월 이십오일의 고백,정승환,1,2923.0,100.0,4920051,1044073
2019/12/16/6,9,2,89688529,십이월 이십오일의 고백,정승환,1,3054.0,144.0,4923105,1044217
